,Rating,Reviews
21,3.0,"Received this BoAt 255 earphones yesterday evening.
Sound quality is perfect. Good combination of Bass and treble. Can feel every beat.
Connectivity is quick. Detects and connects easily.
Battery life is good. Stayed around 10-11 hrs.As i received this yesterday evening. Have been playing since then. So its just the first day review. But performance is good.
Earphones looks solid. Build quality is good. The magnates are really helpful to hold the earphones. Earphones looks great.
Earphone wire could be bit long. But that's fine for me. Not sure about others.
Didn't get chance to charge so not sure about the time to full charge.
One thing i observed during my 10 hours play time that the music stopped playing itself in middle. Not sure it it gets disconnected or there is some technical problem.

But overall performance was nice. Good experience."
22,5.0,"I bought it for regular use, and satisified with the performance. However I have found some drawbacks, which needs to be mention.
1.Automatic power off:
after few minutes of non-usage its automatically getting disconnected, and powering off. It was good advantage on the other hand bcoz it was saving your power.

2.Noise cancellation :
It was literally good but little bit bad in calls, as person you are speaking with was hearing outside voice more louder than your voice.

Along with this it has so many advantages like better bass quality, simple design and good battery life and better battery saving options as i mentioned earlier. 😉

Go with boAt, if you have good budget than go with skullcandy which has same quality .
If budget is not a matter, go with Sennheiser CX 180 earphones, Mivi Thunder Beats Wireless Bluetooth Earphones

Hope this review helpful."
23,5.0,"Hey all, I have used quite a few budget earphones, Senn 180,213,soundmagic e18s, 1more piston, JBL t160, c150si, boat rockerz 225, compared the boat rockers 255 with all these earphones. Additionally I have a Philips basic, a Sony and a JBL headphone. I have bought these for my own use, a few friends and relatives. None of these can compare to the loudness bass and overall effect of these bt earphones. I'm obviously not an audiophile but I know the difference between a good sound and noise. The only concern I found was that the wires hang a lil low and the highs could have been sharper(nitpicking). Cant fault it otherwise. I have It paired with RN5 pro."
24,1.0,Product stopped working in a month time
25,1.0,"Right speaker is not working at all. Useless product.
Big disappointment."
26,4.0,This sound and bass quality is good battery life good noise cancelling is good but its wire is too long and uncomfortable which is not looking good wire is starting from top its looking bad but anyway everything is ok
27,1.0,"Below average product. Not happy at all.

Pros : good sound quality

Cons : very uncomfortable, silicon buds are not soft. Bought a memory foam bud pair to use it.
Battery life is just ok. Once give a low battery alarm, dies within 2 min
Little heavy on ears
No return possible"
28,3.0,"The product is a good buy if you are looking for a decent Bluetooth earphones with a reputed brand.

Sound quality 4/5)- pretty good with good amount of bass.
Durability (4/5)- the material seems durable and the earphones are light weight
Battery life (3.5/5)- It has a decent battery life of upto 5-6 hours playtime on 80% volume.
Connectivity (3.5/5)- gets connected with seconds but sometimes gets disconnected within a small range
Call quality (3/5)- call quality is decent, the person on the other end of the call can here you clearly however you need to place the mic exactly near your mouth. Sometimes the call gets distorted."
29,5.0,"Got it today, really loved the product.. awesome sound.. i was thinking to buy the Airpod but a friend suggested this to me.. Why spend so much!! So i ordered this and this really is amazing.. it looks good.. have great sound and doesnt hurt ua ears!! I am totally satisfied with this and couldnt say about battery as i have got it, today itself!"
30,4.0,"Overall good!
But I am unable to connect two devices simultaneously. Please Guide how can i do that.
Thank you!"
31,3.0,"he only problem is that as earpieces are of metal so they are heavier than a normal wired earpiece And that makes u feel uncomfortable as u start to feel heavier in ur ears and the earbuds are too sleepery, so heavy earpiece with sleepery earbuds will make u irritate. And seems like boat just focussed on bass for these earphones. Note my words just and just bass, too much bass for long time will surely give u headache. I bought these for 999/- but i don't think so they are worth that. My senhessier cx wired earphones are way too much better than these, way too much. So if u want to buy these then buy only for the sake of wireless feature and not for the sound and build quality."
32,5.0,Don't you guys check the product before selling ? just received the product and one side of the earphone is working and the other is not !
33,1.0,Rightside speaker stop working within 20 days.
34,5.0,"I am a prime customer of Amazon and I always purchase a product after so much research bought these boat rokerz in the sale in 1099 and trust me I am blown away by these I have used sony and other headphones in the price range of 5 & 6k but this is just similar to them in this price range ""sound quality"" 10/10 ""battery life"" seems good not tested for as described but will update soon ""durability"" 10/10 perfect fit no pain no discomfort.... Really boat has done a fantastic job with amazing music quality with superb bass in all highs mids &lows ..... Just go for it."
35,1.0,"Although sound quality is good, but then whats a purpose of buying a wireless earphone when its controls (buttons) doesn't work. I bought this product withing a week controls where stop responding cant switch on or do anything.
replaced it got refund bought another piece different color that worn out in a day.
Both the time seller was "" Appario Retail Private Ltd"". So i leave it to your wisdom whether you want to buy this or not. I will never buy this brand at least from this platform."
36,1.0,"Defective product. Not working, had to return the defective product."
37,5.0,"I just brought it in last week, and to be very frank,it's really Awesome. Beyond my expectations.
Sound quality is like having your own personal home theatre,too clear and loud enough, you can listen every single bit of music.And coming to battery backup, they said it's 6hrs but it's more than that, for me it's working near about one and more.

I will say,Go for it."
38,4.0,"◾Things We Like

✔️Battery life is good enough to provide 10 hours of continuous use.
✔️Designed with perfection to provide a smooth experience without any pain in ears.
✔️Sound quality is decent and it offers normal to tremble and bit lower bass.
✔️Comes at a very low price point which makes it perfect for that thing.

◾Things We Didn’t Like

❌Connectivity time is really high that it can frustrate you.
❌Durability is the concern as some people have negative reviews about it.

◾Verdict

✔️As you look at such a low price point, there is no doubt that boAt is rocking in the section of great earbuds. If you want to enhance the music listening experience then you can easily go for other versions but if you have a tight budget then this one is the perfect choice to go for."
39,1.0,Battery is faulty
40,2.0,"Boat blue tooth 255, ye doubt Voice quality is amazing for 30 days or so you will be big FAN or Boat but after 30days.. voice from of the side going down and even after 35 days you will not be able to hear anything from one side
Boat Service on same again so pathetic , raise an complaint almost 10days back for replacement or rapair but after 10days its reaches to their rapir center, not sure how many more days Boat will take to repair... Big Suggestion DO NOT BUY THIS"
41,1.0,"The item has been rendered defective three times in less than two months of usage. The first two times was due to charging issue and the third time due to sound distortion. Being under warranty, the item has been repaired the first two times and now I have registered a compliant for the third failure. The product has spent more time at the service centre than I have used it. Am completely dissatisfied with the reliability of the product."
42,5.0,"Awesome bass. This is even at low volume. So if bass is your thing these are the earphones for you. Really like the sound. There could be more clarity but nonetheless these are good.
Great battery life as well. Lasts about 5-6 hours.

The only grouse is that they are not very comfortable. I changed the plugs to the smallest but my ears still hurt. Maybe just takes getting used to.

Spent 999 for it on the great Indian sale. Definitely worth it."
43,1.0,"Let me tell you about the product in Details,
1. Sound Quality is good. It is harmless for ears. Not too loud but traffic noise can't disturb you while listening music.
2. Look is awesome but wires are too lengthy.
3. Battery Backup 'WAS' awesome. Six to seven hours after 1 or 1.30 hours charging
BUT
4. Product is not CHARGING AFTER ONLY TWO DAYS OF PURCHASE. And it is not acceptable. That's why the rating is ONE (lesser than one is not available though)
I will change my ratings and review too but after the replacement or refund against this product.
And one more thing, do not put too deep to this thing in your ears, it might be painful after few minutes.

Regards
SIDDHARTH"
44,1.0,"I had brought the piece after reading lot of reviews etc. when i purchased and started using it turned off and said battery low .. Thats fine as initial product charged battery full and started using it ..It started reconnecting most of time and sound started disappearing . I checking the range on the manual which said 10m and i saw when i placed my mobile in shirts pocket it was perfect and working and when i moved it to pants pocket it disconnected and reconnected . and it kept happening with 100% charge and was totally waste of time and value for this .
Tried many times and got to know its very small range one and doesnt come with proper range."
45,1.0,The headphones were good at the beginning but after a week getting disturbance on left side earpiece which stays for sometime
46,3.0,"The reason for this being an average product is that the pros are excellent but the cons also work against it.
Pros:
>Good noise cancellation
>Excellent sound quality
>Range is not bad
>Good battery life

Cons:
>The soft earbuds have a very small hole in it, so when you wear a helmet over it and if there is a slight change in the angle of the earpiece you are unable to hear anything from that earpiece unless you correct the angle.
>Durability: The left earpiece of my headphones stopped working within 2 months of use. The company repaired it and gave it back, but the time taken for the same was long. Also, the left earpiece projects lower sound than the right one.
>It does not inform when the Bluetooth gets disconnected after going out of range.
>Becomes useless after the battery reaches 20%. It keeps informing 'Oops! Battery low!' after every minute for the next 10 minutes and then switches off."
47,1.0,"No matter what is excellent in a product, it doesn't matter if it doesn't turn on after a day.

You guys are enforcing a replacement for a failed model.

We can't keep working with warranty and keep the product in manufacturer's shed for days.

Got shut down in two days. Boat needs to review this product.
Bottom 14% reviews say the same problem, issue with charging.

I have purchased 5 boat devices so far I am disappointed for the first time because of this product and ""enforcement"" for replacement.

This leaves me no option but to stop believing in BOAT's own customer service for the problems posted by customers. Amazon just play with its policies. Its the manufacturer who needs to go beyond and hel it's customers.

Refund me for this defective product and I would like to purchase a new one of different model or make."
48,4.0,"Audio quality is pretty good and the way it speaks bye amigos when turning it off is also unique.
It's durable and designed right.
It has mic opening towards down and engraved and rest of the headphone is completely covered,which makes it water resistant I guess.
Only things is that it looks weird when you leav it hanging around the neck unlike some other bluetooth headphones which have hard collar kind thing and then a wire stretching out of it. As it hangs too low from neck and the those hard collar kind ones look like small neck accessory when left hanging.
Either way I liked the product and it does the job. Battery back is also really good."
49,1.0,Very bad it's been only 3 months and it's one earphone is not working . One year warranty is useless no service centre service is there for help only waste of money .
50,1.0,Totally disappointed with the product and returned it. Boat rockerz 225 is better than this.
51,1.0,"Let me tell you that don't buy this. Yes it's true that it's the best product you can get for the price (I doubt that) but definitely it's not the best product YOU should buy.

Problems faced:
1. Battery is pathetic. Mostly gives 3 hours of playtime

2. The earphones get disconnected if you even go to the next room

3. Sound is too low. I have to use 3rd party Equalizer to listen clearly

4. The bass is also not good. Have to rely on the 3rd party apps

The only thing is Boat has a very good warranty service but the problems with the device make it a garbage af"
52,5.0,Close your eyes and just go for it. It is amazing at its price. I have got it at a festival sale which costs me 999 rupees. There is everything perfect in these bluetooth earphones. The bass is amazing even more than sony and jbl bt earphones. The sound is crystal clear. Mic quality is decent and battery life is about 6-7 hours of playback. Noise cancellation is pretty enough. I am very impressed from these earphones. And at last these earphones are stereo supported so you can enjoy 360 songs and also play pubg with these bluetooth earphones. Really i love boat.
53,3.0,"I am pleased to write a review and i will talk both about pros and cons:

Pros:

1. Good Bass
2. Sturdy
3. Great look
4. Good noise cancellation

Cons:

1. Forget buying this if you are planning to use it for gaming like battle royale games, There is an issue with the latency or bluetooth lag, You will hear the noise 3 seconds after you fire the gun.

2. Disspointed battery backup, max is 1 or 1.5. hours if you continously use it at low volume.

3. Wrong place where the charging port is installed, difficult to plugin or plug out.

UPDATE: AS OF TODAY, JAN 15TH 2020 - One of the sides stopped working within 6 months. However, I claimed the warranty and got a replacement in 15 days. No hassle apart from the duration to get a replacement."
54,5.0,"Its grear earphones. I was sceptical when i bought it for 1499, as price was so less for wireless ear phones. Bass is on point and battery life is approx 8-9 hours. You hardly feel it in your ears. Mic picks up all the noise so thats one minus but you can still hear the the sound. Mic is very sensitive so you can speak almost for yourself and still other person will get you."
55,1.0,"Got the delivery today(12/12/2018)
Initial Impressions:The Audio was really good..nice bass..comfortable fit.Audio 4/5
But after few hours of usage the right earphone stopped working..Audio output through right earphone is not as loud as left earphone."
56,1.0,Worst product
57,4.0,"I got this product by 03/12/18 by 04:45 PM. Immediately opened the package to see how the condition was, however it came in a well packed box and on top of it Amazon's insulated cover with invoice. Opened the headphone and put charging through laptop for a few minutes and started using it.

Pros:
1. Connecting to my new OnePlust 6T within no time and giving a sound with a bold voice stating ""You are now connected to Boat Rocerz 255""
2. Base is really awesome, able to hear vocals properly, well mounted ear tips helps you to use the headphone for longer time
3. Call quality is fine and more over noise cancellation is ok
4. Music is so good to listen while driving.

Cons:
1. Multi-functional is not so compatible to my phone (it's my assumption), where I could not able to got to the next song or previous song.
2. Noise Cancellation is not that much awesome but yeah can able to listen our voice properly by the other side.
3. If we give pause for 5 minutes to the song while listening through this, you should go back again to your phone to replay it again

Overall it's a satisfactory deal and worth every rupee we spend on it. As this is my second product from Boat I strongly recommend this."
58,1.0,"Just purchase it with your eyes closed man. In 1500 bucks no-one will ever give you such a Bass and good audio quality WIRELESS BLUETOOTH Earphone. Just don't think so much.

I don't know about the lasting of the product but feeling the build it seems very premium. This is my first day usage review.

===≠====≠===
Writing after 5 months of using
One of earbud stopped working without any reason today.
Pathetic product I must say now"
59,3.0,"Got this for Rs. 999. A great deal for the price.
Bought it socially for multipoint features.

Works great with 2 mobiles but I have found that it keeps running into connecting issues with a Windows 10 laptop. It may take a while to connect back with a Windows 10 laptop.

Battery is okay. Can't take it off the whole day.
Don't expect noise cancellation. Sound is great. You can enjoy bass. Another little annoying thing apart from connecting with Windows Laptop is the crackling sound which I can hear sometime for no reason even in close proximity of the streaming device."
60,4.0,"So this is my take on the boAt Rockerz 255 Sports Bluetooth after one month of usage and hope this satisfies most of the queries here.

Pros:
------

1. Pretty Quick Connectivity. It hardly took me less than a minute to get started with it.

2. The sound quality is quite good. While driving on high altitude windy areas, the sound clarity is still clear and that makes me give it a thumbs up.

3. The battery life lasts for almost 3 days and thats quite reasonable for me

Cons:
-------

1. Though there aren't many cons but yes the noise cancellation is quite less when compared to many other earphones

2. Quality checks need to be taken care of since we had to get one of our earphones exchanged due to connectivity issue

Overall it is a great value for money for earphones. Do pick it up,"
61,2.0,"Hello I bought this product in big sale going on , got it for 1099 which is good deal.
Later on it was for 2.5k don't buy at this price waste of money.

Sound n bass is awesome
Battery not sure yet

Songs can't be changed using music keys and music key functions are uncertain

Music starts playing from phone suddenly after the call

Double tapping of play/stop button dials last caller, which is greatest con of this product"
62,1.0,Product not working within 1 month from purchase
63,3.0,"Hi, i bought this for 1500 from amazon but to tell you did not found out this worth 1500. Bought this after seeing 4 star rating from amazon users but seriously not worth 4 stars.

1. Bass may be there but the sound is not powerfull and sharp. I tried to switch between plug in ear phone and boat wireless and found that the sound is not great although bass may be there.
2. As some user has mentioned the mic is not good which i also feel
3. If you arr looking for style then it doesn't look stylish. The earphone wires should come from behind not front as it looks odd.
4. Noise cancellation is good.
5. Ear comfort is ok.

If i have to buy again i would rather by wireless earphone at 600 bucks from metro station amd may feel disappointed rather than spending 1500 buck and feeling disappointed.

This product should be in the range of 600 to 800 max

Still if you need something desperately wireless and at some affordable cost then its ok.

Have heard from some colleagues that you may find some good wireless earphone from Ali express"
64,2.0,"I have been using the headset for 2 months. The battery life is pathetic. It might huff and puff to 4-5 hrs before the annoying ""your battery is low"" notification starts piercing your ears. The noise cancellation is avergae and the Mic is the biggest let down. When I use this for calls when I am in my room, my sound gets diffused in the sound my ceiling fan makes and the other party will be having lots of difficulty hearing us. And the ear pains a lot after half an hour of usage due to the ear-holder kind of thing provided on the buds. I won't recommend this to anyone. I read and watched a lot of reviews before buying this. Most reviews were rating it pretty high. So I have learned one thing, do not go solely on these reviews when buying things from these kinds of manufacturers, those might be paid ones..!
Happy Shopping!!"
65,2.0,"Purchased it for 999. And the price does justifies its quality but for music purposes it does lags. Bass is still justified for its price. Basic functions dont work as desired like overriding the use of buttons. The startup and shutting down voice is very annoying. Could have kept very subtle.
And also battery drains out quickly. The microphone is the worst. The person at the other end wont be able to hear you clearly. The built quality is very cheap. Dont expect it to be durable for long just keep it safe.
Also when I used it during running the audio started to interrupt regularly which was very very annoying. I had to abstain from using it during morning jog. After this experience am giving it only 2 stars."
66,1.0,"It is too bad..this ear phones could not completed even a month it has been only 20 days..and it's battery getting heated battery running time getting shorter by the time today it play only 1 hour ,next thing is it has been 5 days since it's one side earhone is not working..feeling cheated.."
67,4.0,Sound quality is good. noise cancellation is not upto the mark. battery quality is decent. by charging it once you can enjoy upto 5hrs of music without any issue
68,1.0,"For the first month it was good. But from the starting i was having blue tooth connectivity issue. It was not even having good connection within 5metres. Then within 30 days due to sweating it completely stopped working. I am still searching for the right wireless ear phone which can be used for long run, marathon and resist sweating.

Very poor customer care service. I returned the product and have to wait for 3 week for dispatching a new one. Still on 4th week no shipment done."
69,1.0,Sound quality is worst
70,1.0,"Its not sweat proof that is clear it will malfunction when you run on treadmill wearing it
Sound is good
Battery is good
but its not full sweatproof
Also will stop working after one month"
71,1.0,The unit stopped charging within months of purchase. Was replaced by boat in 10 days of complaint with a refurbished unit. The replacement provided was faulty with distortion of sound in one side and a 5 hour charge lasted for only 30 mins. Had to raise another complaint. Seems they don't do proper quality check before giving replacement. Will update on this basis the experience of the second complaint raised.
72,4.0,"I got it for INR999 and that's the reason am giving it a 4star rating. For casual listeners , it has decent sound . I found it very clear not comparable to Hi-res earphones (ofcourse). It has good amount of bass but not deep bass instead more of a muddy bass but what else can you expect at this price. But it is good for casual music but i found it little weird for watching movies. Connectivity is ok . Not great cause if you'll put your phone behind your body like in case u keep ur phone in your back pockets , the connection gets lost. Moreover , since it's a Bluetooth 4.1 even the range is around 10m or less. Build quality seems good but only time can tell that. I have another boat product called Boat Rockerz 600 ( it was their flagship product then) , which is a very good product. I have it for more than an year now and it's still running very strong though i don't use it as my daily driver. Only problem is that it's earpads are in really bad shape so i have similar hopes with this product too. And if you are confused between this or other similarly priced earphones like Boult, tagg and all don't bother they all are Chinese earphones re-branded and marketed as Boat or tagg etc. So i believe they should sound very similar. And the MRP written on them is basically a maketing gimmick. There's no way these kinda earphones could cost more than INR1500.

And now for "" Audiophiles"" ,well if you are one , you won't be looking at these anyway. So that's it . Happy shopping."
73,5.0,"Product design is good and very durable. The best feature is the sound quality and its design. However what i didn't liked is the battery backup. Its up hardly for 3 to 4 hrs if continuously powered on which requires to be charged atleast 2x a day. Overall I would say , its a good deal only if its under 1K or max 1.2K inr.. otherwise I wont recommend it."
74,1.0,"I have purchased the product on 7 Dec 2018 stopped working In Feb 2019, Reported it to boat, as per amazon, after a trial of email, the executive does not answer the call who was supposed to pick the product and drops a text that ""NO I AM NOT COMING"". I am left with faulty headphones now. What am I supposed to do with it."
75,1.0,Just one month nd gone. Product sucks. Please don't buy. Not finding at service centres as well.
76,1.0,"At first it's look good. While using sometimes it fell out of the ears. I have changed all the earbuds to suit my ears but it fell of when you are looking down.
Now it's stopped left side. No tanglin nothing don't know how it stopped. Don't waste the money by buying cheap Bluetooth.
I had a faith in boat because of their sound quality which they had in small budget earphones but this one is not worthy
Bass is medium not punchy for that bass you can choose boat basshead ₹599 its very good."
77,3.0,"I have earlier used two Boat earphones, and this was my third purchase.
Packaging - great. It came in a box which includes extra eartips, manual, USB charger, earphones and a case.
Sound quality - good at the price range. The bass is strong, good for edm.
Bluetooth connectivity - good, both range wise and quick pairing. It has two device pairing. I earlier had connectivity issues between Lenovo devices and boat, none this time.
Noise cancellation - decent.
Fit - the earbuds aren't the most comfortable but shouldn't be any pain with moderate use. Also, it is unlikely to fall off with fast walk or jogging. However, the neckabamd seems flimsy.
What I didn't like - I have never been a fan of neckband style earphones. And these looked ill fitted. The neckband and the wires are bigger than required.
I didn't use it for the ill fitting so would have to cut the review short."
78,1.0,Product STOPPED working in just 20 days useless even the 10 day return policy is over now no refund & waste of my hard earned money
79,1.0,Would have used hardly for 5 to 8 hours since I got this product and it does not charge now. Return window already crossed and a total loss for me. Amazon stop selling such substandard products plz.
80,1.0,"I bought this product after a long wait for drop in price for 1500 finally but just after few days of buying it for 1500, the price further dropped to 999! Really unhappy about having to spend 500 extra! Quality wise they're good but not exceptional. Also the eartips hooks are smaller than other branded earphones so not interchangeable with other earphones! I find it very inconvenient because my Sennheiser earphones have much better quality tips which I cannot fit on these as they fit lose."
81,2.0,"I don't usually write reviews for products but I must do for this one to let people know about the issues I am facing. I will try to cover all aspects of these earphones in this review.

*Reliability:*
The earphones get disconnected after some time if you don't use it for like 3-4 hours. It's very frustrating since you have to start the earphones first before picking up the call. Also, when you pick up the call you don't know whether to use phone or earphones to speak since you don't know whether they are connected. Though a small issue, it's really frustrating, trust me.

*Experience:*
The earphones are pretty useful and give all kinds of signals (if you have plugged it in your ear) like connected, disconnected, battery low. But what is most frustrating is the battery low signal which is not just a beep, but a long sentence it says ""Oops, battery low"". This keeps on repeating every 30 seconds which really annoys me. If the battery is low, it should just beep if they have to. But every time bugging is not a good experience.
Also, it takes a bit too long to power on and power off. You have to press the button for like 5-7 seconds.

*Sound Quality:*
The first song I listened to these earphones sounded really terrible with high bass. But it's not really bad if you are not into too much sound details.

*Build Quality:*
Build quality is really good. No issues with that.

*Battery life*
Satisfied with battery life. But it doesn't last that long as promised. But I am okay with that."
82,5.0,Awesome best budget wireless earphones
83,4.0,Need to claim warranty one side speaker is not working
84,1.0,I buyed the product and it stopped working after 2 months.The after sale service of boat is very bad and pathetic .
85,3.0,"It was priced around 2.7K initially. But I definitely know it doesn't worth it. I got it in an offer for Rs.1.1K. Still it is not worth the price. I was just looking for some stuff, without having to plug in the 3.5mm jack to my mobile - and it serves that purpose. Other than that, it is not for music lovers who wants to listen to music for long hours. in 30 minutes it starts hurting and I started to develop ear/headache if I continue to listen more than 1 hr. Definitely not suitable for laptops - it keeps disconnecting frequently for no reason. Recently it starts doing the same with my mobiles as well. Battery is not great with daily 1 hours of hearing battery lasts max 3 days. The string is annoyingly long, it dangles upto your stomach. I have seen earphones with reasonable length, this one is awkwardly designed. You cannot wear them without getting attention from onlookers.

If you are ready to spend another 1000 bucks go for good brands like JBL, Senheiser etc. If you want to cut cost, well this is the Best among the other worsts in the market"
86,2.0,"The wire from the band to the ears is too long. Previously, I was using Skull Candy (which i lost so went in for a cheaper option). Skull Candy wire length was perfect. In Boats Rockerz, because the wire is too long, it keeps bumping against my neck when i run. The sound of the wire hitting the neck echoes in the ear pieces. Also, when i do floor exercises, the longish wire hangs uncomfortably around the neck. Sound quality and battery life is decent for the price, though. So if you plan to buy it for casual listening, go ahead. Wouldn't recommend for serious workouts."
87,4.0,"I like the sound quality, it's quite good. But it doesn't really stick in your head quite well. Think about that before ordering"
88,5.0,Better in price range of 1399 best for use microphone quality is like wired headphone not only good for hearing music but also for talking with ur love ones at night.. best in all ur budget is under 1500 if ur budget is 4000 then go true wireless but in that u will miss the microphone quality u have to speak louder good for daily use bass is not best but okay type in this price range of wireless headphone neon and black colour is good all the three colours look awesome noise cancellation is not that much it fit properly u can use for gym heavy workout but due to neckband its little heavier and feeling of wired around neck as this is Bluetooth headset then not that much long lasting coz u have to charge the battery and one day after one year may the battery get damaged don't charge is frequently once its less than 20% than only charge this headphone battery backup of continues use in starting is 4 to 5hrs and at standby mode u can use it for 2days.. once u get this u will forget ur phone as whenever call will come u Don't have to run just use ur connected headset to receive the call . U can also pair smart watch and this headset together
89,1.0,"I had bought the earphones about 20 days back. They were working absolutely fine. They fit perfectly and sound great.
But after 20 days of working they stopped working. They wont switch on. I tried charging with powerbanks, PC, chargers (I was very careful of not exceeding the amperage for charging and I didnt exceed the limit). Now to claim warranty I have to send this to the company which will take at least 10-15 days. This is very unfortunate and I am seriously questioning the legitimacy of this brand."
90,4.0,"Very Good Neckband, Price Wise This Is The Best Neckband Available On Amazon.
But, Only One Problem There Is No ""Voice Assistant"" Available.
Otherwise Everything Is OK....."
91,1.0,"Dont go for this product. I have seen the reviews and purchased it but to my surprise, the ear phones are very bad at producing the decent bass,instead the bass is too heavy that even a bass head like me does not find it good. Too heavy to use it for longer times, u might end up hurting ur ears."
92,5.0,"** the product was a perfect purchase... but it is not charging, requested for replacement..
Replacement is quick and so prominent... Thank You boAt team...
Pros:
•Soft feeling wearing this ""boAT Rockerze"" and look also good..
•The sound quality is excellent, it's like a premium brands...
•I am using just after receiving the product without charging and it is going on and on. The battery lasts for full 2days. Am so happy.
•Value for money.
Cons:-
Not find still now..."
